profile_id,profile_type,file,profile_slug,display_name,bio,follow_question,follow_answer
P001,艺人,social/artists/starnet-social-constellaltair.html,constellaltair,CONSTELL-Altair,CONSTELL成员 Altair,,
P002,艺人,social/artists/starnet-social-constellorion.html,constellorion,CONSTELL-Orion,CONSTELL成员 Orion,,
P003,艺人,social/artists/starnet-social-constellrasal.html,constellrasal,CONSTELL-Rasal,CONSTELL成员 Rasal,,
P004,艺人,social/artists/starnet-social-constellregulus.html,constellregulus,CONSTELL-Regulus,CONSTELL成员 Regulus,,
P005,粉丝,social/civilians/fans/starnet-social-orionfans.html,orionfans,爱吃欧包,这欧包我一口一个！,家里人都管欧包叫什么,大哥
P006,粉丝,social/civilians/fans/starnet-social-xunhangzu.html,xunhangzu,OA其实是AO,就爱吃哥弟怎么了！！！！,五字真言,你别不要我
P007,粉丝,social/civilians/fans/starnet-social-pianguizu.html,pianguizu,爱是偏离轨道的逃逸,跟嗑不到ReA的人没话说了,我产的定情信物是？,有线耳机
P008,粉丝,social/civilians/fans/starnet-social-liexingzu.html,liexingzu,想摘下星星给你,美帝姐无所畏惧,无解的那天，无解的时间（八位数字）,09261314
P009,粉丝,social/civilians/fans/starnet-social-regulusfans.html,regulusfans,惹惹太萌惹,想老公爱老公,惹惹的经典killing part,ridiculous
P010,粉丝,social/civilians/fans/starnet-social-jinliezu.html,jinliezu,soROmantic,我产今天打架了吗？,RE：O 从零开始的……,寰宇猎手生活
P011,粉丝,social/civilians/fans/starnet-social-zhuiguangzu.html,zhuiguangzu,RR大法好,你星最美霸总娇妻，雷对家，别来,请留下四个神秘数字,2699
P012,粉丝,social/civilians/fans/starnet-social-shuangxingzu.html,shuangxingzu,双星环绕不息,热爱巡游天际，双星环绕不息。,小情侣合作曲,Phony
P013,粉丝,social/civilians/fans/starnet-social-rasalfans.html,rasalfans,惟惟诺诺,喜欢Rasal，但不是毒唯哦,Rasal前段时间上的推理综艺是,迷雾侦探社
P014,粉丝,social/civilians/fans/starnet-social-altairfans.html,altairfans,是小江也是小太,Altair要成为世界上最棒的歌手！,请说：Altair是全宇宙最可爱的宝宝！,Altair是全宇宙最可爱的宝宝！
P015,粉丝,social/civilians/fans/starnet-social-constellfans.html,constellfans,小温（五周年快乐版）,终于可以去见真人啦！！！！！！,四子首字母年龄排序（大写！）,RORA
P016,黑粉,social/civilians/haters/starnet-social-altairhater.html,altairhater,在下皇汰子,我家0分男来喽,汰子最爱喝的酒是,烬潮
P017,黑粉,social/civilians/haters/starnet-social-con_s_tell.html,con_s_tell,全都是骗子,CONSTELL CON'S TELL 买邀请链接这边进,请留下一串神秘数字,728391546
P018,黑粉,social/civilians/haters/starnet-social-orionhater.html,orionhater,欧日昂世狗一,哥哥我允许任何人辱骂你，允许任何人贬低你，允许任何人厌恶你，允许任何人忤逆你，允许任何人责骂你，允许任何人反对你，允许任何人欺凌你，允许任何人批判你，允许任何人急慢你，允许任何人疏忽你。,欧狗前段时间带吸血鬼们去了？,岚屿市
P019,黑粉,social/civilians/haters/starnet-social-orira.html,orira,欧辣今天分手了吗,谢谢你们像巧克力一样出现在我的世界里，但我是狗，感谢你们毁了我的生活。,这对狗男男最爱的约会地点,未醍
P020,黑粉,social/civilians/haters/starnet-social-rasalhater.html,rasalhater,我女辣赛尔,想说些漂亮话哄你，可是想来想去最漂亮的也只有你了。,我女混账爹大名,庄暮诚
P021,黑粉,social/civilians/haters/starnet-social-regulushater.html,regulushater,到底在拽什么,我的哥哥 不发自拍 不爱粉 不营业 不好惹 不善良 不聪明 不良心 不卖腐 不是人,你惹最近又去哪看病了,启岸心理
P022,黑粉,social/civilians/haters/starnet-social-constellhater.html,constellhater,逃离猩群bot,这辈子追你们算我倒霉,投稿直接发私信，不接三无小号投稿，不接脱团转唯稿，回复“了解规矩”即可关注,了解规矩
P023,粉丝,social/civilians/fans/starnet-social-daydayup.html,daydayup,用户72519726,她要好起来，我要找到真相。,她的名字,
